Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Bolivia, Plurinational State of"	0	0	0	0	25	0	0	18	0	0	0	0	1	1	3	1	122	0	10	2	
"Samoa"	0	0	0	0	0	5	0	28	101	3	31	2	1164	666	7300	170	404	2359	460	2	
"Albania"	0	6	0	0	0	0	6	0	0	344	595	275	29	48	17	10	4	0	0	1	
"Armenia"	0	0	0	7	4	78	0	0	0	60	1	0	0	0	38	9	1	0	0	1	
"Botswana"	0	0	0	260	0	0	0	0	0	0	7	0	5	0	0	1	0	1	0	1	
"Fiji"	0	0	0	0	0	0	0	40	0	0	8	4	0	0	9	0	0	42	0	1	
"Iraq"	0	0	0	0	0	0	0	4	2	91	408	964	0	1	41	0	3	4	6	1	
"Nicaragua"	0	0	0	0	29	4	2	0	31	0	3	302	274	1879	720	0	0	15	0	1	
"Zimbabwe"	338	0	0	2	108	0	0	5	9	0	17	0	0	2	2	1	0	0	0	1	
"Cocos (Keeling) Islands"	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	2	0	0		
"Falkland Islands (Malvinas)"	0	0	0	0	0	2	3	0	8	49	0	0	0	0	0	0	0	32	0		
"Gibraltar"	0	0	0	0	317	48	0	0	0	0	3	0	0	0	0	0	0	0	0		
"Nauru"	11	5	37	5	690	7	0	0	0	497	0	0	54	0	6	0	0	0	0		
"Niue"	0	0	0	0	8	47	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Norfolk Island"	9	0	0	0	21	1	28	400	100	0	56	50	0	0	8	2	0	0	0		
"Northern Mariana Islands"	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0		
"Pitcairn"	0	0	0	0	5	0	0	0	0	0	0	0	110	0	0	0	0	0	0		
"Saint Helena"	0	0	0	0	497	13	3	21	7	2	97	0	0	0	0	8	61	11	0		
"Saint Pierre and Miquelon"	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
"South Sudan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		
"Turkmenistan"	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	29		
"Wallis and Futuna Islands"	0	0	0	0	0	0	14	2	1	0	0	0	0	0	0	0	0	0	0		
"Andorra"	0	0	0	0	0	10	2	3	0	0	0	0	1	0	0	0	0	0	6		
"Bermuda"	0	0	0	0	0	0	0	0	0	0	2	0	92	0	2	14	10	2	0		
"Solomon Islands"	13	0	23	0	0	0	14	96	0	12	84	0	0	0	0	4	0	0	0		
